point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000210,49.930766959,32.060328345,6.144719403,-12.721270672,-1.530042409,-2.802852483,PLA,T0
point-0000211,50.141817149,34.957837308,4.882897330,-12.536235698,-1.544867554,-2.810693670,PLA,T0
point-0000212,50.375556301,38.170565355,3.824693173,-11.613614163,-1.556655217,-2.837220519,PLA,T0
point-0000213,50.638808470,41.620050238,3.004508487,-9.875444254,-1.564764001,-2.881382187,PLA,T0
point-0000214,50.946150320,45.225707278,2.434697736,-7.059803853,-1.569282503,-2.946366617,PLA,T0
point-0000215,51.307665639,48.787432778,2.106796441,-2.983949280,-1.570811018,-3.032984212,PLA,T0
point-0000216,51.731435458,52.000000000,2.000000000,2.500000000,-1.570796327,-3.141592654,PLA,T0
point-0000217,51.743435458,52.000000000,2.600000000,2.500000000,-1.570796327,-3.141592654,,
point-0000218,52.161835192,48.836506289,2.704073471,-2.919372864,-1.570827178,-3.034307970,PETG,T1
point-0000219,52.520818726,45.323943526,3.026987630,-6.987934561,-1.569349870,-2.947958077,PETG,T1
point-0000220,52.827474041,41.754764280,3.590137514,-9.834380626,-1.564882109,-2.882376573,PETG,T1
point-0000221,53.090526379,38.329021160,4.401277105,-11.616389725,-1.556796957,-2.837163178,PETG,T1
point-0000222,53.324251615,35.128757056,5.451015457,-12.589808129,-1.544956966,-2.809177585,PETG,T1
point-0000223,53.535042802,32.236255204,6.705947726,-12.826421875,-1.529986949,-2.799567850,PETG,T1
point-0000224,53.734804657,29.622847373,8.143489230,-12.539797217,-1.511746622,-2.804553842,PETG,T1
point-0000225,53.929440580,27.275637424,9.728697302,-11.831681535,-1.490807595,-2.823021834,PETG,T1
point-0000226,54.122363471,25.198405872,11.419818139,-10.736442367,-1.468084217,-2.855864404,PETG,T1
point-0000227,54.317056651,23.335461315,13.201851460,-9.364393688,-1.443425497,-2.900283648,PETG,T1
point-0000228,54.514442088,21.666898327,15.047774399,-7.759808545,-1.417524236,-2.955998980,PETG,T1
point-0000229,54.714807873,20.185453163,16.929468649,-5.943907189,-1.391395348,-3.023867538,PETG,T1
point-0000230,54.918172353,18.849035976,18.846539512,-3.983249524,-1.364797889,-3.101487390,PETG,T1
point-0000231,55.123668768,17.651705129,20.784009038,-1.906211865,-1.338692295,-3.189178091,PETG,T1
point-0000232,55.330420148,16.591251082,22.732821182,0.260686480,-1.314141202,-3.287584020,PETG,T1
point-0000233,55.538147904,15.642967555,24.706222058,2.477752540,-1.290223096,-3.393868994,PETG,T1
point-0000234,55.745733835,14.814682978,26.699227475,4.722202542,-1.267890788,-3.508558514,PETG,T1
point-0000235,55.952620748,14.113499179,28.710948409,6.978707361,-1.247750579,-3.632119703,PETG,T1
point-0000236,56.159816606,13.538417822,30.736458742,9.264722919,-1.228349847,-3.763081997,PETG,T1
point-0000237,56.366727859,13.101749304,32.763076316,11.574463549,-1.210727520,-3.903232631,PETG,T1
point-0000238,56.573557421,12.807320476,34.776608435,13.916290892,-1.195376829,-4.054261615,PETG,T1
point-0000239,56.780497273,12.647918644,36.761880563,16.297195904,-1.182755937,-4.217848091,PETG,T1
point-0000240,56.984404757,12.600707456,38.748933434,18.621954154,-1.176217964,-4.396199356,PETG,T1
point-0000241,58.109163534,52.000000000,2.000000000,2.500000000,-1.570796327,-3.926990817,,
point-0000242,58.532933353,48.787432778,2.106796441,-2.983949280,-1.570811018,-3.818382375,PETG,T1
point-0000243,58.894448672,45.225707278,2.434697736,-7.059803853,-1.569282503,-3.731764781,PETG,T1
point-0000244,59.201790521,41.620050238,3.004508487,-9.875444254,-1.564764001,-3.666780350,PETG,T1
point-0000245,59.465042690,38.170565355,3.824693173,-11.613614163,-1.556655217,-3.622618683,PETG,T1
point-0000246,59.698781843,34.957837308,4.882897330,-12.536235698,-1.544867554,-3.596091834,PETG,T1
point-0000247,59.909832032,32.060328345,6.144719403,-12.721270672,-1.530042409,-3.588250647,PETG,T1
point-0000248,60.110329223,29.442474985,7.588168298,-12.392482167,-1.512010510,-3.595019268,PETG,T1
point-0000249,60.305925927,27.091986147,9.177655234,-11.646292290,-1.491393405,-3.615465851,PETG,T1
point-0000250,60.500059200,25.009686699,10.872396918,-10.518631702,-1.469107183,-3.650440818,PETG,T1
point-0000251,60.696067081,23.136659341,12.659076583,-9.124415304,-1.444975880,-3.696962411,PETG,T1
point-0000252,60.894726591,21.455006066,14.510361266,-7.504369764,-1.419791779,-3.754954850,PETG,T1
point-0000253,61.096270084,19.955069343,16.400471411,-5.683072471,-1.394581069,-3.825156724,PETG,T1
point-0000254,61.300559627,18.594067381,18.331234709,-3.731143753,-1.369110576,-3.905007720,PETG,T1
point-0000255,61.506608249,17.368037870,20.288814335,-1.677527090,-1.344499341,-3.994979111,PETG,T1
point-0000256,61.713477066,16.272848065,22.268918057,0.445809375,-1.321765376,-4.095398244,PETG,T1
point-0000257,61.920765360,15.285486435,24.287260319,2.595067334,-1.299998843,-4.203240820,PETG,T1
point-0000258,62.127222379,14.415643569,26.341434409,4.743149000,-1.280349452,-4.319090653,PETG,T1
point-0000259,62.332397094,13.671075728,28.435930233,6.871635622,-1.263223989,-4.442881188,PETG,T1
point-0000260,62.537130698,13.052944006,30.567881422,8.993842794,-1.247238667,-4.572994411,PETG,T1
point-0000261,62.740683497,12.574444959,32.729541642,11.096425890,-1.233560879,-4.710975601,PETG,T1
point-0000262,62.943538310,12.244068324,34.909298769,13.193632862,-1.222210359,-4.857780552,PETG,T1
point-0000263,63.145836618,12.057447568,37.092924149,15.292439452,-1.213547193,-5.014745984,PETG,T1
point-0000264,63.345488450,12.000000000,39.300009891,17.315843634,-1.210279180,-5.183627738,PETG,T1
point-0000265,63.376281043,12.600707456,38.748933434,18.621954154,-1.176217964,-5.181597519,,
point-0000266,63.580188527,12.647918644,36.761880563,16.297195904,-1.182755937,-5.003246254,PA,T2
point-0000267,63.787128379,12.807320476,34.776608435,13.916290892,-1.195376829,-4.839659778,PA,T2
point-0000268,63.993957941,13.101749304,32.763076316,11.574463549,-1.210727520,-4.688630794,PA,T2
